Location,FIPS,"Mortality Rate, 1980*","Mortality Rate, 1985*","Mortality Rate, 1990*","Mortality Rate, 1995*","Mortality Rate, 2000*","Mortality Rate, 2005*","Mortality Rate, 2010*","Mortality Rate, 2014*","% Change in Mortality Rate, 1980-2014"
"Martin County, Minnesota",27091,"391.58 (366.64, 416.38)","364.98 (341.43, 386.25)","316.51 (298.48, 335.80)","299.65 (282.58, 317.09)","274.34 (259.83, 288.84)","245.85 (231.83, 260.20)","216.96 (203.14, 230.04)","219.98 (205.14, 235.33)","-43.82 (-49.24, -38.27)"
"McLeod County, Minnesota",27085,"434.94 (407.64, 462.87)","412.96 (388.89, 437.68)","346.95 (326.76, 368.01)","324.19 (305.32, 343.25)","289.43 (274.51, 305.38)","245.21 (231.15, 259.17)","211.44 (198.44, 223.29)","208.69 (194.37, 222.22)","-52.02 (-56.31, -47.50)"
"Meeker County, Minnesota",27093,"449.63 (419.86, 480.07)","419.92 (394.01, 446.44)","357.98 (337.10, 379.80)","334.77 (317.02, 353.78)","302.08 (284.23, 319.67)","254.03 (238.75, 270.26)","210.25 (195.21, 225.53)","204.32 (190.13, 219.59)","-54.56 (-58.43, -50.20)"
"Mille Lacs County, Minnesota",27095,"438.61 (410.74, 468.07)","402.45 (377.72, 427.30)","361.10 (339.64, 382.86)","338.08 (318.77, 356.63)","307.45 (289.39, 324.50)","265.17 (249.47, 280.91)","229.93 (215.50, 243.99)","224.32 (209.19, 238.56)","-48.86 (-52.93, -44.60)"
"Morrison County, Minnesota",27097,"450.55 (423.00, 479.04)","411.51 (389.07, 435.25)","357.18 (337.68, 377.14)","331.41 (312.67, 350.13)","299.61 (283.95, 316.56)","257.41 (242.49, 272.30)","212.61 (199.66, 225.82)","215.01 (200.73, 228.22)","-52.28 (-56.10, -48.07)"
"Mower County, Minnesota",27099,"364.52 (343.22, 387.84)","336.00 (318.47, 353.70)","293.14 (277.77, 308.09)","272.05 (257.65, 286.13)","244.20 (231.30, 256.53)","213.15 (201.68, 225.03)","180.03 (170.60, 190.32)","177.83 (167.26, 188.24)","-51.22 (-54.94, -46.99)"
"Murray County, Minnesota",27101,"412.00 (381.68, 442.18)","385.95 (361.66, 411.89)","336.89 (317.12, 359.83)","311.37 (292.41, 331.56)","286.72 (269.25, 305.51)","239.45 (223.17, 257.29)","203.36 (188.78, 218.64)","200.46 (184.25, 216.88)","-51.34 (-56.38, -45.74)"
"Nicollet County, Minnesota",27103,"376.46 (350.53, 405.16)","341.74 (319.58, 364.25)","296.11 (276.82, 314.89)","275.72 (257.98, 293.37)","244.85 (230.03, 260.63)","211.45 (198.67, 224.34)","177.00 (165.27, 189.23)","174.51 (161.98, 187.31)","-53.64 (-57.63, -48.89)"
"Nobles County, Minnesota",27105,"353.90 (329.39, 379.99)","331.02 (310.34, 351.76)","285.27 (266.96, 303.74)","268.79 (253.58, 284.31)","249.06 (234.59, 264.31)","215.37 (201.95, 228.12)","194.21 (181.55, 207.33)","194.85 (182.55, 208.20)","-44.94 (-50.13, -39.32)"
"Norman County, Minnesota",27107,"482.46 (449.61, 517.81)","442.44 (411.97, 474.71)","390.67 (365.96, 416.47)","360.82 (338.42, 385.04)","324.94 (304.39, 347.96)","277.08 (257.38, 298.77)","239.62 (219.60, 259.83)","231.44 (211.49, 251.45)","-52.03 (-56.98, -46.37)"
"Olmsted County, Minnesota",27109,"337.37 (317.03, 358.01)","316.18 (298.34, 334.33)","268.86 (254.41, 284.42)","251.72 (238.59, 265.26)","231.16 (219.76, 243.54)","194.02 (184.09, 205.05)","162.68 (154.25, 171.70)","163.22 (154.70, 172.90)","-51.62 (-55.01, -47.76)"
"Otter Tail County, Minnesota",27111,"410.47 (384.69, 435.99)","384.10 (362.27, 406.87)","341.25 (322.27, 360.41)","319.59 (301.29, 337.11)","292.02 (276.63, 308.37)","251.31 (237.07, 265.01)","221.11 (208.23, 234.26)","218.06 (205.84, 230.87)","-46.88 (-51.08, -42.56)"
"Pennington County, Minnesota",27113,"475.91 (441.13, 510.90)","438.20 (412.15, 467.66)","383.58 (360.76, 407.48)","354.48 (333.18, 376.06)","317.84 (299.26, 337.24)","277.31 (259.63, 296.23)","230.74 (216.31, 247.24)","231.53 (213.58, 249.69)","-51.35 (-56.09, -45.91)"
"Pine County, Minnesota",27115,"468.51 (439.55, 499.85)","427.02 (402.98, 452.32)","370.63 (350.42, 391.86)","345.66 (327.35, 365.15)","306.28 (290.66, 323.07)","256.45 (244.03, 270.94)","214.25 (202.56, 227.76)","206.98 (194.56, 220.75)","-55.82 (-59.70, -51.61)"
"Pipestone County, Minnesota",27117,"421.62 (393.24, 447.88)","396.32 (370.30, 421.82)","347.54 (327.82, 368.57)","328.59 (308.80, 348.67)","293.20 (273.91, 311.34)","243.84 (227.63, 261.01)","211.91 (196.42, 228.08)","209.28 (193.84, 225.02)","-50.36 (-55.06, -45.07)"
"Polk County, Minnesota",27119,"450.75 (421.61, 475.68)","411.13 (387.11, 433.98)","358.98 (339.66, 379.16)","341.88 (322.87, 362.09)","313.80 (297.12, 330.87)","262.57 (247.57, 277.93)","234.17 (220.23, 249.46)","230.28 (214.81, 244.77)","-48.91 (-53.23, -44.39)"
"Pope County, Minnesota",27121,"401.18 (368.88, 430.35)","372.21 (346.77, 397.57)","332.51 (308.54, 355.66)","316.38 (295.09, 338.09)","289.26 (271.13, 308.68)","258.66 (240.01, 276.68)","224.46 (206.97, 241.80)","232.88 (215.64, 250.60)","-41.95 (-47.71, -35.45)"
"Ramsey County, Minnesota",27123,"430.54 (413.41, 446.64)","386.18 (370.12, 401.45)","335.78 (321.56, 349.31)","306.41 (294.49, 318.59)","272.79 (261.64, 283.70)","231.07 (222.66, 240.08)","194.06 (186.10, 202.52)","191.65 (184.26, 199.91)","-55.49 (-57.64, -53.23)"
"Red Lake County, Minnesota",27125,"444.65 (399.01, 496.00)","420.68 (382.93, 462.30)","379.72 (346.71, 415.15)","353.31 (322.73, 386.02)","326.72 (298.43, 358.78)","289.25 (260.07, 316.65)","247.44 (220.57, 274.12)","243.46 (215.58, 273.88)","-45.25 (-53.29, -35.95)"
"Redwood County, Minnesota",27127,"440.73 (411.81, 468.24)","401.18 (376.64, 425.45)","355.35 (335.60, 376.55)","327.58 (308.87, 346.79)","295.84 (279.92, 311.89)","260.68 (246.34, 275.38)","221.77 (208.41, 236.45)","216.42 (201.85, 232.37)","-50.89 (-55.47, -46.25)"
"Renville County, Minnesota",27129,"425.16 (399.55, 453.22)","394.59 (371.09, 418.41)","351.26 (331.62, 371.37)","328.79 (310.08, 348.45)","302.31 (284.30, 320.50)","261.93 (245.30, 277.10)","228.91 (213.71, 244.41)","225.99 (210.68, 242.65)","-46.85 (-51.37, -41.75)"
"Rice County, Minnesota",27131,"418.68 (393.53, 443.71)","379.18 (357.06, 400.83)","333.99 (315.67, 352.39)","304.92 (288.16, 322.20)","269.38 (256.18, 283.54)","235.28 (222.69, 248.97)","194.70 (184.29, 206.59)","187.51 (176.78, 198.79)","-55.21 (-58.47, -51.57)"
"Rock County, Minnesota",27133,"352.89 (325.46, 381.61)","345.63 (322.74, 371.97)","312.26 (292.50, 332.99)","304.01 (284.64, 323.55)","288.71 (271.38, 308.00)","255.19 (238.66, 274.45)","232.36 (215.29, 250.05)","236.23 (218.10, 256.83)","-33.06 (-39.79, -25.16)"
"Roseau County, Minnesota",27135,"492.68 (454.33, 531.96)","444.49 (413.78, 477.83)","376.08 (350.68, 401.02)","347.60 (326.14, 370.20)","316.85 (296.80, 338.15)","264.15 (245.91, 283.62)","226.61 (209.50, 243.71)","223.17 (204.80, 242.50)","-54.70 (-59.14, -49.33)"
"Saint Louis County, Minnesota",27137,"489.85 (469.31, 510.08)","437.45 (418.19, 457.53)","377.31 (361.19, 392.52)","343.81 (329.79, 359.07)","299.60 (287.30, 312.69)","255.99 (245.88, 266.31)","225.37 (215.71, 235.15)","215.65 (206.04, 224.95)","-55.98 (-58.25, -53.37)"
"Scott County, Minnesota",27139,"458.03 (431.11, 487.07)","420.69 (395.17, 446.68)","351.68 (332.02, 371.18)","314.74 (296.80, 330.71)","275.37 (261.42, 289.84)","229.23 (217.67, 241.49)","192.36 (181.85, 202.89)","184.85 (174.54, 195.60)","-59.64 (-62.55, -56.42)"
"Sherburne County, Minnesota",27141,"556.87 (521.41, 593.90)","491.89 (462.07, 522.21)","411.09 (386.63, 433.83)","361.28 (339.88, 382.20)","303.88 (287.36, 321.70)","245.12 (230.72, 258.77)","201.75 (190.02, 214.51)","188.63 (177.22, 199.95)","-66.13 (-68.68, -63.31)"
"Sibley County, Minnesota",27143,"406.34 (379.84, 435.33)","381.91 (359.38, 406.98)","349.59 (328.94, 371.23)","326.67 (308.06, 345.94)","308.47 (290.61, 326.36)","274.81 (257.57, 292.78)","230.70 (215.12, 247.38)","229.83 (213.97, 245.77)","-43.44 (-48.73, -37.74)"
"Stearns County, Minnesota",27145,"391.52 (370.52, 411.86)","359.50 (341.10, 376.92)","308.40 (294.56, 323.03)","279.43 (266.68, 292.08)","250.47 (238.67, 262.91)","205.74 (195.95, 215.54)","172.84 (164.90, 181.32)","171.60 (163.11, 180.40)","-56.17 (-58.92, -53.22)"
"Steele County, Minnesota",27147,"407.24 (380.46, 433.92)","366.68 (344.06, 388.71)","320.83 (301.55, 339.82)","300.06 (282.75, 317.09)","265.12 (249.79, 281.19)","228.45 (214.35, 241.08)","196.38 (185.23, 209.03)","196.68 (182.89, 209.97)","-51.70 (-55.95, -47.42)"
"Stevens County, Minnesota",27149,"419.61 (389.69, 451.70)","382.94 (356.24, 407.89)","334.99 (312.56, 357.14)","300.05 (280.16, 320.30)","265.45 (247.26, 283.50)","227.17 (210.27, 244.94)","194.94 (178.72, 211.67)","187.41 (170.96, 203.69)","-55.34 (-60.00, -50.43)"
"Swift County, Minnesota",27151,"435.73 (401.99, 468.91)","399.98 (370.50, 428.28)","350.30 (328.46, 375.76)","328.72 (308.73, 348.69)","309.05 (289.97, 327.82)","253.86 (237.48, 270.38)","225.72 (209.39, 242.76)","221.56 (204.64, 240.04)","-49.15 (-54.33, -43.58)"
"Todd County, Minnesota",27153,"404.63 (378.97, 429.73)","369.21 (346.33, 391.76)","322.70 (305.24, 341.66)","297.15 (279.91, 315.49)","267.49 (252.29, 283.86)","224.55 (212.15, 237.37)","188.79 (177.00, 200.59)","188.27 (175.87, 200.98)","-53.47 (-57.27, -49.31)"
"Traverse County, Minnesota",27155,"412.62 (379.85, 448.57)","384.54 (355.87, 416.26)","339.02 (315.55, 364.10)","327.20 (304.12, 351.19)","313.60 (290.98, 337.32)","266.39 (247.31, 287.42)","246.04 (226.28, 268.79)","234.25 (214.40, 256.42)","-43.23 (-49.51, -36.28)"
"Wabasha County, Minnesota",27157,"418.19 (387.10, 450.21)","382.51 (358.40, 407.98)","326.79 (305.52, 348.13)","300.26 (283.03, 319.15)","263.61 (247.96, 280.19)","224.92 (212.13, 240.68)","189.94 (178.27, 202.91)","192.07 (178.84, 205.89)","-54.07 (-58.29, -49.42)"
"Wadena County, Minnesota",27159,"507.01 (471.97, 544.99)","472.59 (442.23, 503.57)","412.49 (386.89, 438.95)","387.74 (365.06, 413.02)","351.84 (331.09, 373.60)","297.00 (277.47, 316.43)","254.85 (235.93, 274.18)","252.35 (232.77, 272.08)","-50.23 (-55.27, -45.06)"
"Waseca County, Minnesota",27161,"404.54 (376.08, 432.55)","373.26 (348.26, 399.31)","327.46 (307.04, 348.40)","305.91 (286.86, 324.43)","283.97 (267.22, 302.69)","239.39 (224.28, 254.89)","211.93 (198.27, 226.89)","211.58 (196.06, 226.80)","-47.70 (-52.64, -42.31)"
"Washington County, Minnesota",27163,"435.02 (412.14, 458.42)","393.40 (372.81, 414.06)","327.70 (311.28, 344.42)","282.47 (267.49, 298.09)","252.04 (239.98, 264.77)","202.37 (192.14, 212.80)","164.82 (156.27, 173.61)","161.26 (153.45, 170.27)","-62.93 (-65.31, -60.33)"
"Watonwan County, Minnesota",27165,"453.59 (422.60, 487.34)","415.55 (388.10, 445.05)","358.20 (336.61, 381.56)","334.53 (314.75, 354.39)","315.35 (295.56, 334.88)","266.34 (249.57, 284.74)","231.50 (214.96, 248.97)","226.66 (209.37, 245.39)","-50.03 (-54.89, -44.59)"
"Wilkin County, Minnesota",27167,"388.97 (359.16, 418.06)","379.63 (353.48, 408.77)","349.89 (323.69, 374.84)","352.56 (326.38, 378.51)","348.33 (322.53, 373.92)","334.57 (309.64, 360.99)","300.05 (275.01, 324.51)","294.02 (268.72, 320.85)","-24.41 (-31.72, -15.22)"
"Winona County, Minnesota",27169,"393.49 (367.35, 419.72)","356.15 (333.54, 376.63)","328.13 (309.98, 348.54)","302.94 (285.46, 319.01)","283.81 (267.91, 299.21)","238.19 (224.65, 251.67)","211.81 (199.30, 224.24)","205.22 (193.43, 217.75)","-47.85 (-51.74, -43.56)"
"Wright County, Minnesota",27171,"452.25 (426.88, 480.58)","412.04 (389.58, 437.81)","347.49 (328.76, 366.79)","316.92 (299.39, 334.32)","273.30 (259.34, 286.63)","228.80 (216.83, 241.01)","191.02 (181.34, 202.14)","183.75 (174.44, 193.99)","-59.37 (-62.42, -56.44)"
"Yellow Medicine County, Minnesota",27173,"416.13 (388.38, 443.19)","380.52 (357.61, 403.86)","334.28 (312.86, 354.45)","315.35 (296.61, 334.03)","283.36 (265.11, 301.04)","247.11 (231.00, 263.76)","212.66 (196.18, 228.55)","207.44 (191.11, 224.92)","-50.15 (-55.19, -45.00)"
Mississippi,28,"572.81 (565.06, 580.21)","539.90 (532.70, 546.64)","486.97 (480.25, 493.99)","475.26 (468.07, 482.45)","448.76 (442.12, 455.82)","394.25 (387.50, 400.84)","347.03 (340.41, 353.50)","347.92 (341.05, 354.71)","-39.26 (-40.38, -38.16)"
"Adams County, Mississippi",28001,"644.21 (611.72, 679.01)","593.11 (564.81, 623.20)","534.30 (508.72, 560.18)","506.92 (482.21, 531.81)","473.34 (451.17, 497.13)","405.64 (384.32, 427.50)","360.65 (340.01, 382.54)","362.31 (338.87, 385.75)","-43.76 (-48.35, -39.05)"
"Alcorn County, Mississippi",28003,"484.67 (458.32, 512.61)","478.25 (453.91, 503.31)","448.09 (426.19, 469.47)","459.81 (437.08, 484.03)","461.16 (438.64, 484.79)","413.72 (393.35, 435.25)","375.24 (354.70, 394.90)","387.71 (365.21, 411.17)","-20.01 (-26.27, -13.13)"
"Amite County, Mississippi",28005,"505.61 (472.03, 539.96)","473.62 (444.40, 503.25)","421.45 (397.17, 448.13)","403.98 (379.17, 428.33)","374.66 (350.94, 399.16)","317.92 (295.63, 339.80)","291.51 (271.07, 316.62)","296.51 (273.25, 322.30)","-41.36 (-46.69, -34.96)"
"Attala County, Mississippi",28007,"529.12 (498.84, 557.90)","500.00 (473.83, 527.18)","450.24 (425.84, 473.66)","454.72 (432.15, 479.41)","427.42 (405.11, 450.98)","397.50 (375.46, 420.44)","353.27 (332.16, 374.49)","359.96 (336.83, 382.77)","-31.97 (-37.25, -25.86)"
"Benton County, Mississippi",28009,"491.10 (453.52, 529.00)","477.99 (445.05, 511.85)","449.41 (419.45, 478.63)","453.46 (425.57, 481.96)","445.81 (416.83, 475.68)","414.30 (384.83, 443.67)","383.42 (352.46, 413.41)","393.34 (361.54, 427.31)","-19.91 (-28.14, -9.94)"
"Bolivar County, Mississippi",28011,"697.20 (663.12, 734.46)","652.36 (619.26, 682.48)","584.42 (559.17, 611.52)","565.89 (540.56, 593.21)","548.95 (523.59, 575.23)","481.96 (456.88, 505.19)","444.28 (419.74, 469.74)","443.39 (418.38, 469.83)","-36.40 (-41.06, -31.47)"
"Calhoun County, Mississippi",28013,"506.92 (475.72, 540.96)","495.03 (466.64, 524.52)","464.82 (441.01, 491.12)","466.76 (440.60, 492.38)","457.73 (433.59, 482.29)","413.64 (389.88, 437.67)","379.86 (355.10, 405.52)","384.44 (356.31, 411.62)","-24.16 (-31.12, -16.96)"
"Carroll County, Mississippi",28015,"470.00 (435.16, 505.34)","445.76 (415.62, 476.89)","391.19 (365.01, 416.30)","385.59 (360.72, 409.80)","368.80 (346.56, 392.71)","329.20 (308.42, 351.13)","289.81 (267.67, 311.25)","311.82 (286.62, 338.04)","-33.66 (-40.47, -26.17)"
"Chickasaw County, Mississippi",28017,"585.57 (552.06, 621.72)","550.73 (521.28, 582.65)","495.35 (467.35, 522.01)","472.37 (448.00, 497.99)","445.76 (421.10, 470.55)","386.52 (364.09, 408.60)","340.67 (318.31, 362.35)","334.48 (311.08, 359.14)","-42.88 (-48.31, -37.40)"
"Choctaw County, Mississippi",28019,"522.69 (485.61, 560.95)","495.07 (463.50, 531.36)","444.26 (416.74, 474.89)","432.18 (403.63, 461.04)","406.79 (377.89, 437.79)","355.54 (327.25, 383.83)","307.35 (279.14, 336.44)","304.67 (275.85, 332.90)","-41.71 (-47.74, -34.48)"
"Claiborne County, Mississippi",28021,"583.68 (545.47, 623.59)","570.59 (534.32, 607.59)","541.53 (509.06, 575.63)","536.44 (503.17, 571.86)","525.75 (491.75, 560.17)","483.98 (448.89, 518.67)","459.34 (425.38, 495.52)","468.23 (430.30, 507.01)","-19.78 (-27.93, -11.63)"
"Clarke County, Mississippi",28023,"581.01 (545.21, 618.10)","560.41 (527.21, 592.99)","515.33 (488.50, 541.38)","501.67 (475.49, 529.75)","470.41 (443.08, 496.01)","415.39 (392.59, 439.66)","364.27 (339.76, 388.42)","364.12 (339.16, 390.15)","-37.33 (-42.94, -30.89)"
"Clay County, Mississippi",28025,"586.33 (551.63, 620.78)","557.62 (528.77, 590.13)","526.36 (501.03, 555.22)","499.22 (474.62, 526.48)","474.94 (451.45, 501.94)","414.14 (391.66, 438.53)","375.51 (352.17, 399.48)","369.21 (344.62, 395.28)","-37.03 (-42.30, -31.00)"
"Coahoma County, Mississippi",28027,"646.23 (615.18, 681.63)","589.86 (561.68, 619.92)","539.39 (515.49, 563.46)","532.14 (508.07, 556.93)","512.48 (486.47, 537.84)","459.42 (437.13, 482.33)","405.31 (384.34, 427.79)","410.58 (385.75, 435.90)","-36.46 (-41.69, -30.98)"
"Copiah County, Mississippi",28029,"567.64 (538.16, 600.28)","540.15 (512.82, 568.73)","491.31 (467.85, 517.82)","475.71 (451.93, 501.06)","447.28 (424.70, 470.99)","386.32 (364.62, 407.17)","349.85 (329.65, 370.94)","351.42 (329.07, 373.43)","-38.09 (-43.05, -32.83)"
"Covington County, Mississippi",28031,"550.04 (516.74, 588.06)","532.23 (501.81, 563.81)","488.81 (463.72, 515.99)","485.13 (458.89, 512.31)","465.81 (439.75, 492.44)","421.02 (395.18, 448.18)","387.82 (364.37, 413.30)","393.60 (364.81, 423.12)","-28.44 (-35.08, -21.53)"
"DeSoto County, Mississippi",28033,"600.82 (569.52, 633.21)","539.22 (514.18, 566.53)","458.51 (435.83, 479.74)","433.86 (414.41, 453.98)","398.50 (381.67, 417.32)","356.08 (340.71, 371.88)","314.33 (299.57, 330.07)","305.59 (291.40, 320.16)","-49.14 (-52.58, -45.59)"
"Forrest County, Mississippi",28035,"616.07 (585.00, 645.68)","580.90 (552.94, 609.70)","518.80 (495.77, 544.26)","502.55 (480.92, 526.09)","471.06 (450.13, 492.47)","395.89 (377.83, 414.91)","339.39 (322.22, 356.17)","336.02 (317.49, 354.77)","-45.46 (-49.17, -41.17)"
"Franklin County, Mississippi",28037,"566.89 (529.00, 607.30)","542.42 (506.89, 580.40)","505.01 (474.27, 538.39)","491.76 (459.99, 526.39)","484.41 (452.23, 519.23)","420.30 (387.61, 455.49)","382.60 (348.62, 416.51)","398.04 (363.56, 435.43)","-29.79 (-37.38, -21.35)"
"George County, Mississippi",28039,"550.61 (514.85, 588.18)","527.94 (494.45, 560.20)","475.10 (446.94, 501.96)","479.32 (452.51, 508.35)","468.76 (440.94, 496.59)","417.44 (390.82, 445.06)","363.36 (339.97, 389.15)","368.34 (342.37, 395.14)","-33.10 (-39.52, -26.65)"
"Greene County, Mississippi",28041,"634.61 (590.82, 680.46)","609.72 (569.48, 651.04)","549.40 (514.16, 586.94)","527.53 (493.67, 559.54)","501.78 (467.12, 534.65)","437.77 (405.61, 467.80)","384.31 (353.64, 414.63)","388.88 (354.19, 422.85)","-38.72 (-45.00, -31.98)"
"Grenada County, Mississippi",28043,"674.55 (636.66, 713.30)","633.12 (599.74, 666.91)","570.54 (542.54, 599.44)","546.00 (519.03, 572.52)","529.22 (501.48, 555.81)","458.07 (433.79, 483.16)","392.96 (370.19, 415.43)","397.93 (372.86, 424.86)","-41.01 (-45.91, -35.81)"
"Hancock County, Mississippi",28045,"557.84 (527.13, 589.23)","510.53 (483.89, 536.96)","451.80 (427.28, 474.08)","439.03 (418.30, 460.54)","402.05 (381.87, 422.42)","330.57 (313.58, 349.67)","291.29 (274.40, 310.23)","287.13 (268.55, 305.46)","-48.53 (-52.84, -43.90)"
"Harrison County, Mississippi",28047,"578.28 (554.19, 604.70)","559.34 (536.63, 582.55)","510.95 (491.10, 530.61)","504.24 (484.69, 523.86)","483.80 (465.89, 502.78)","414.89 (399.58, 431.23)","360.75 (346.67, 374.58)","369.66 (355.90, 385.67)","-36.08 (-39.60, -32.20)"
"Hinds County, Mississippi",28049,"538.13 (517.61, 559.50)","490.88 (473.00, 508.02)","445.35 (428.88, 461.48)","453.38 (436.63, 470.33)","415.05 (401.19, 430.97)","367.46 (353.35, 382.11)","328.20 (315.89, 341.09)","330.71 (317.65, 344.62)","-38.54 (-41.68, -34.97)"
"Holmes County, Mississippi",28051,"576.48 (545.49, 611.52)","555.86 (527.35, 586.34)","519.71 (493.82, 547.12)","512.96 (484.54, 539.25)","491.24 (466.01, 516.21)","458.14 (432.82, 484.91)","408.45 (381.55, 434.56)","428.92 (401.53, 458.65)","-25.60 (-32.19, -18.53)"
"Humphreys County, Mississippi",28053,"645.35 (604.89, 687.17)","595.46 (559.57, 632.71)","544.63 (514.44, 578.43)","537.93 (506.45, 567.76)","526.22 (495.12, 558.72)","458.39 (427.86, 489.83)","413.64 (383.81, 444.53)","418.72 (385.10, 452.57)","-35.12 (-41.55, -28.50)"
"Issaquena County, Mississippi",28055,"437.24 (390.42, 488.32)","416.51 (373.71, 461.26)","377.66 (342.15, 417.91)","356.16 (319.94, 393.15)","335.05 (299.73, 375.19)","299.43 (266.06, 334.91)","277.89 (242.62, 315.92)","260.95 (226.27, 298.94)","-40.32 (-48.49, -31.67)"
"Itawamba County, Mississippi",28057,"528.65 (497.18, 562.67)","509.88 (481.36, 540.45)","471.19 (445.78, 496.95)","472.02 (447.24, 497.62)","449.55 (425.95, 474.54)","405.85 (382.62, 428.49)","369.82 (347.88, 392.04)","371.26 (347.37, 397.15)","-29.77 (-35.88, -22.89)"
"Jackson County, Mississippi",28059,"509.80 (484.86, 535.66)","486.44 (463.57, 507.95)","444.39 (424.82, 463.93)","433.77 (415.24, 453.36)","415.65 (397.60, 433.68)","357.05 (340.61, 373.44)","315.79 (300.42, 329.91)","316.43 (301.71, 331.13)","-37.93 (-41.73, -33.48)"
"Jasper County, Mississippi",28061,"529.75 (498.23, 562.87)","506.56 (476.52, 536.10)","469.08 (441.91, 495.76)","473.51 (449.81, 499.48)","461.96 (437.99, 487.25)","402.74 (380.71, 427.79)","367.26 (343.66, 391.24)","380.46 (355.37, 406.72)","-28.18 (-34.29, -21.45)"
"Jefferson County, Mississippi",28063,"548.10 (508.15, 590.62)","537.49 (502.77, 576.38)","495.76 (464.70, 529.66)","484.28 (453.80, 516.13)","450.58 (419.61, 480.58)","408.82 (378.84, 440.55)","376.10 (345.34, 408.51)","383.30 (348.68, 416.91)","-30.07 (-37.41, -21.46)"
"Jefferson Davis County, Mississippi",28065,"512.68 (479.40, 548.47)","485.67 (455.87, 515.82)","442.53 (417.69, 470.16)","436.05 (408.22, 461.05)","412.61 (386.37, 437.71)","365.83 (342.02, 391.96)","335.62 (309.79, 360.59)","341.75 (316.00, 369.69)","-33.34 (-40.40, -26.68)"
"Jones County, Mississippi",28067,"557.07 (529.38, 585.40)","525.77 (502.38, 550.32)","468.45 (448.57, 489.46)","458.33 (438.57, 478.84)","425.13 (406.00, 444.54)","373.28 (355.78, 390.75)","325.81 (309.65, 341.68)","337.71 (320.88, 358.40)","-39.38 (-43.56, -34.48)"
"Kemper County, Mississippi",28069,"509.90 (474.06, 544.83)","482.05 (452.86, 512.06)","430.97 (405.21, 457.32)","421.59 (397.43, 448.86)","402.72 (376.88, 427.37)","356.11 (333.07, 380.65)","318.26 (293.78, 342.15)","314.65 (290.28, 341.00)","-38.29 (-44.47, -31.59)"
"Lafayette County, Mississippi",28071,"455.85 (429.83, 482.95)","444.81 (420.77, 469.36)","416.41 (394.97, 439.03)","400.81 (380.94, 422.21)","374.14 (356.02, 394.66)","339.47 (321.49, 358.16)","298.19 (280.87, 316.28)","288.80 (271.84, 307.04)","-36.65 (-41.57, -31.65)"
"Lamar County, Mississippi",28073,"518.82 (487.95, 550.66)","481.56 (454.54, 508.82)","426.85 (404.25, 448.43)","404.33 (384.81, 426.39)","381.55 (361.25, 400.62)","330.56 (312.35, 347.97)","286.47 (270.31, 303.70)","289.21 (271.84, 308.04)","-44.26 (-49.00, -38.88)"
"Lauderdale County, Mississippi",28075,"593.72 (565.89, 622.34)","570.43 (545.44, 597.34)","496.67 (474.81, 519.55)","465.99 (445.62, 486.06)","450.78 (431.24, 470.52)","395.60 (377.78, 413.66)","328.40 (312.23, 344.48)","337.73 (320.88, 354.30)","-43.12 (-47.10, -39.01)"
"Lawrence County, Mississippi",28077,"570.69 (532.58, 612.01)","551.20 (517.93, 587.39)","514.29 (483.11, 545.28)","511.79 (480.70, 540.73)","496.62 (467.90, 527.51)","431.72 (406.84, 459.45)","394.87 (367.59, 422.00)","393.39 (366.13, 421.25)","-31.07 (-37.32, -24.13)"
"Leake County, Mississippi",28079,"561.16 (529.51, 593.25)","541.08 (513.49, 571.40)","491.68 (467.68, 515.90)","485.05 (461.05, 510.66)","470.96 (445.76, 495.69)","426.01 (402.38, 450.22)","373.25 (352.10, 394.88)","380.81 (356.09, 406.15)","-32.14 (-38.07, -26.10)"
"Lee County, Mississippi",28081,"593.37 (566.35, 620.99)","547.71 (522.07, 572.13)","496.11 (475.35, 515.84)","464.86 (443.37, 485.45)","453.51 (433.69, 474.27)","389.84 (373.05, 407.02)","341.97 (324.89, 358.64)","339.14 (322.28, 356.40)","-42.85 (-46.51, -38.92)"
"Leflore County, Mississippi",28083,"688.22 (651.79, 724.99)","654.58 (621.75, 686.87)","595.86 (568.77, 623.80)","588.34 (560.63, 616.25)","579.49 (554.51, 606.63)","513.39 (489.07, 540.21)","460.31 (436.70, 485.22)","466.06 (439.57, 494.22)","-32.28 (-37.29, -26.66)"
"Lincoln County, Mississippi",28085,"547.47 (516.80, 580.15)","520.26 (491.72, 550.44)","471.58 (446.13, 495.37)","464.13 (442.17, 489.14)","446.69 (422.41, 469.28)","389.54 (367.55, 411.12)","341.11 (319.96, 362.33)","344.54 (324.12, 366.57)","-37.07 (-41.89, -31.70)"
"Lowndes County, Mississippi",28087,"518.62 (490.67, 547.69)","480.00 (458.74, 503.93)","424.53 (404.83, 443.92)","414.45 (395.14, 433.47)","378.16 (360.10, 395.55)","343.56 (327.19, 360.29)","293.63 (277.86, 308.62)","286.42 (269.92, 303.25)","-44.77 (-48.90, -40.46)"
"Madison County, Mississippi",28089,"482.81 (456.15, 509.90)","458.71 (436.29, 481.89)","410.86 (390.57, 431.00)","405.96 (387.42, 426.45)","399.97 (381.41, 421.04)","367.04 (349.17, 385.71)","321.37 (305.64, 337.16)","326.85 (311.37, 343.57)","-32.30 (-37.04, -27.01)"
